Date,Close1,Date,Close2
10/11/2019 16:00:00,30.13,10/11/2019 16:00:00,39.49
10/14/2019 16:00:00,31.12,10/14/2019 16:00:00,39.8
10/15/2019 16:00:00,32,10/15/2019 16:00:00,41.08
10/16/2019 16:00:00,31.87,10/16/2019 16:00:00,40.51
10/17/2019 16:00:00,32.62,10/17/2019 16:00:00,41.67
10/18/2019 16:00:00,32.06,10/18/2019 16:00:00,40.79
10/21/2019 16:00:00,31.41,10/21/2019 16:00:00,40.88
10/22/2019 16:00:00,32.53,10/22/2019 16:00:00,43.56
10/23/2019 16:00:00,33.05,10/23/2019 16:00:00,43.08
10/24/2019 16:00:00,33.28,10/24/2019 16:00:00,43.72
10/25/2019 16:00:00,32.71,10/25/2019 16:00:00,44.54
10/28/2019 16:00:00,33.22,10/28/2019 16:00:00,44.42
10/29/2019 16:00:00,32.42,10/29/2019 16:00:00,43.68
10/30/2019 16:00:00,33.75,10/30/2019 16:00:00,44.11
10/31/2019 16:00:00,31.5,10/31/2019 16:00:00,41.44
11/1/2019 16:00:00,31.37,11/1/2019 16:00:00,42.98
11/4/2019 16:00:00,31.08,11/4/2019 16:00:00,42.83
11/5/2019 16:00:00,28.02,11/5/2019 16:00:00,41.37
11/6/2019 16:00:00,26.94,11/6/2019 16:00:00,42.92
11/7/2019 16:00:00,27.38,11/7/2019 16:00:00,43.29
11/8/2019 16:00:00,27.01,11/8/2019 16:00:00,43.23
11/11/2019 16:00:00,27.14,11/11/2019 16:00:00,42.97
11/12/2019 16:00:00,26.7,11/12/2019 16:00:00,42.33
11/13/2019 16:00:00,26.71,11/13/2019 16:00:00,43.3
11/14/2019 16:00:00,25.99,11/14/2019 16:00:00,41.92
11/15/2019 16:00:00,26.79,11/15/2019 16:00:00,43.04
11/18/2019 16:00:00,26.75,11/18/2019 16:00:00,44.86
11/19/2019 16:00:00,27.05,11/19/2019 16:00:00,44.15
11/20/2019 16:00:00,28.03,11/20/2019 16:00:00,43.95
11/21/2019 16:00:00,29.46,11/21/2019 16:00:00,46.76
11/22/2019 16:00:00,29.56,11/22/2019 16:00:00,46.46
11/25/2019 16:00:00,29.11,11/25/2019 16:00:00,48.94
11/26/2019 16:00:00,29.53,11/26/2019 16:00:00,49
11/27/2019 16:00:00,29.49,11/27/2019 16:00:00,49.37
11/29/2019 13:00:00,29.6,11/29/2019 13:00:00,48.98
12/2/2019 16:00:00,28.98,12/2/2019 16:00:00,47.39
12/3/2019 16:00:00,29.02,12/3/2019 16:00:00,47.51
12/4/2019 16:00:00,29.06,12/4/2019 16:00:00,47.32
12/5/2019 16:00:00,28.65,12/5/2019 16:00:00,45.07
12/6/2019 16:00:00,27.86,12/6/2019 16:00:00,45.2
12/9/2019 16:00:00,27.68,12/9/2019 16:00:00,45.42
12/10/2019 16:00:00,27.89,12/10/2019 16:00:00,45.26
12/11/2019 16:00:00,28.42,12/11/2019 16:00:00,47.36
12/12/2019 16:00:00,28.69,12/12/2019 16:00:00,46.6
12/13/2019 16:00:00,28.49,12/13/2019 16:00:00,46.75
12/16/2019 16:00:00,30.05,12/16/2019 16:00:00,47.93
12/17/2019 16:00:00,29.75,12/17/2019 16:00:00,47.5
12/18/2019 16:00:00,30.13,12/18/2019 16:00:00,47.01
12/19/2019 16:00:00,29.99,12/19/2019 16:00:00,46.28
12/20/2019 16:00:00,30.45,12/20/2019 16:00:00,47.92
12/23/2019 16:00:00,30.33,12/23/2019 16:00:00,45.54
12/24/2019 13:00:00,30.44,12/24/2019 13:00:00,45.7
12/26/2019 16:00:00,30.67,12/26/2019 16:00:00,45.73
12/27/2019 16:00:00,30.17,12/27/2019 16:00:00,45.84
12/30/2019 16:00:00,29.74,12/30/2019 16:00:00,43.5
12/31/2019 16:00:00,29.74,12/31/2019 16:00:00,43.02
1/2/2020 16:00:00,30.99,1/2/2020 16:00:00,43.58
1/3/2020 16:00:00,31.37,1/3/2020 16:00:00,43.19
1/6/2020 16:00:00,31.58,1/6/2020 16:00:00,43.1
1/7/2020 16:00:00,32.81,1/7/2020 16:00:00,44.25
1/8/2020 16:00:00,33.93,1/8/2020 16:00:00,45.08
1/9/2020 16:00:00,33.97,1/9/2020 16:00:00,45.59
1/10/2020 16:00:00,34.01,1/10/2020 16:00:00,46.06
1/13/2020 16:00:00,34.14,1/13/2020 16:00:00,46.35
1/14/2020 16:00:00,34.84,1/14/2020 16:00:00,47.68
1/15/2020 16:00:00,35.01,1/15/2020 16:00:00,47.08
1/16/2020 16:00:00,34.68,1/16/2020 16:00:00,46.83
1/17/2020 16:00:00,35.13,1/17/2020 16:00:00,46.52
1/21/2020 16:00:00,37.6,1/21/2020 16:00:00,47.98
1/22/2020 16:00:00,37.04,1/22/2020 16:00:00,47.47
1/23/2020 16:00:00,37.4,1/23/2020 16:00:00,48.48
1/24/2020 16:00:00,36.8,1/24/2020 16:00:00,48.43
1/27/2020 16:00:00,36.3,1/27/2020 16:00:00,47.36
1/28/2020 16:00:00,37.01,1/28/2020 16:00:00,48.21
1/29/2020 16:00:00,36.99,1/29/2020 16:00:00,46.84
1/30/2020 16:00:00,36.68,1/30/2020 16:00:00,47.79
1/31/2020 16:00:00,36.29,1/31/2020 16:00:00,47.48
2/3/2020 16:00:00,37.59,2/3/2020 16:00:00,47.96
2/4/2020 16:00:00,38.53,2/4/2020 16:00:00,50
2/5/2020 16:00:00,36.81,2/5/2020 16:00:00,48.06
2/6/2020 16:00:00,37.09,2/6/2020 16:00:00,47.42
2/7/2020 16:00:00,40.63,2/7/2020 16:00:00,49.92
